127.0.0.1 - - [22/Apr/2017:06:55:27 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:31 +0700] "GET /kjzt_JavaSpringWeb/ HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:31 +0700] "GET /kjzt_JavaSpringWeb/static/css/app.css;jsessionid=BD9592D41A2B64EAD0D8B325A600E5E8 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:31 +0700] "GET /kjzt_JavaSpringWeb/static/css/bootstrap.css;jsessionid=BD9592D41A2B64EAD0D8B325A600E5E8 HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:31 +0700] "GET /kjzt_JavaSpringWeb/static/img/dsth.png HTTP/1.1" 200 50769
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:45 +0700] "GET /kjzt_JavaSpringWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:45 +0700] "GET /kjzt_JavaSpringWeb/ HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:45 +0700] "GET /kjzt_JavaSpringWeb/static/css/bootstrap.css;jsessionid=5C5D1CCA44FC342380822B74F6AB86EE HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:45 +0700] "GET /kjzt_JavaSpringWeb/static/css/app.css;jsessionid=5C5D1CCA44FC342380822B74F6AB86EE HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:45 +0700] "GET /kjzt_JavaSpringWeb/static/img/dsth.png HTTP/1.1" 200 50769
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:55:45 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:03 +0700] "GET /kjzt_JavaSpringWeb/ HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:03 +0700] "GET /kjzt_JavaSpringWeb/static/css/app.css;jsessionid=9CC317845364672C5F174121F3CEBB66 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:03 +0700] "GET /kjzt_JavaSpringWeb/static/css/bootstrap.css;jsessionid=9CC317845364672C5F174121F3CEBB66 HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:03 +0700] "GET /kjzt_JavaSpringWeb/static/img/dsth.png HTTP/1.1" 200 50769
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:03 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:56 +0700] "GET /kjzt_JavaSpringWeb/ HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:56 +0700] "GET /kjzt_JavaSpringWeb/static/css/app.css;jsessionid=D963CA267F88E667FA4E4468224B2EE0 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:56 +0700] "GET /kjzt_JavaSpringWeb/static/css/bootstrap.css;jsessionid=D963CA267F88E667FA4E4468224B2EE0 HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:56 +0700] "GET /kjzt_JavaSpringWeb/static/img/dsth.png HTTP/1.1" 200 50769
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:56:56 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:57:28 +0700] "GET /kjzt_JavaSpringWeb/index HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:57:28 +0700] "GET /kjzt_JavaSpringWeb/static/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:57:28 +0700] "GET /kjzt_JavaSpringWeb/static/css/app.css HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [22/Apr/2017:06:57:36 +0700] "GET /kjzt_JavaSpringWeb/test HTTP/1.1" 200 1027
